ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
150,13.08,1,21,0.892534666667,0.1309,2.0,0.997516583886,4.326666666666667,149,0.898328666667
300,14.166666666666666,1,21,0.812466,0.1309,2.0,0.992516417214,4.52,150,0.892534666667
450,13.74,1,21,0.824921333333,0.1309,2.0,0.987516250542,4.16,151,0.880074
600,14.326666666666666,1,21,0.749132666667,0.1309,2.0,0.982516083869,4.90666666667,152,0.892534666667
750,14.726666666666667,1,21,0.756378666667,0.1309,2.0,0.977515917197,5.07333333333,153,0.892388
900,14.56,1,21,0.770480666667,0.1309,2.0,0.972515750525,4.06,154,0.886594
1050,13.82,1,21,0.839341333333,0.1309,2.0,0.967515583853,4.60666666667,155,0.881213333333
1200,15.326666666666666,1,21,0.760518,0.1309,2.0,0.962515417181,4.76666666667,156,0.881626666667
1350,13.813333333333333,1,21,0.81994,0.1309,2.0,0.957515250508,4.58,157,0.869166
1500,14.426666666666666,1,21,0.79017,0.1309,2.0,0.952515083836,4.76666666667,158,0.863372
1650,12.693333333333333,1,21,0.930580666667,0.1309,2.0,0.947514917164,4.86,159,0.863372
1800,13.973333333333333,1,21,0.836705333333,0.1309,2.0,0.942514750492,4.1,160,0.863372
1950,13.54,1,21,0.906208666667,0.1309,2.0,0.937514583819,4.26666666667,161,0.863372
2100,14.633333333333333,1,21,0.771915333333,0.1309,2.0,0.932514417147,4.64666666667,162,0.856705333333
2250,13.726666666666667,1,21,0.836318666667,0.1309,2.0,0.927514250475,4.10666666667,163,0.862086
2400,13.953333333333333,1,21,0.799745333333,0.1309,2.0,0.922514083803,4.32,164,0.849625333333
2550,12.993333333333334,1,21,0.895546666667,0.1309,2.0,0.917513917131,4.46,165,0.855419333333
2700,13.353333333333333,1,21,0.915150666667,0.1309,2.0,0.912513750458,4.2,166,0.855419333333
2850,12.746666666666666,1,21,0.980144666667,0.1309,2.0,0.907513583786,3.74666666667,167,0.855566
3000,13.806666666666667,1,21,0.841872666667,0.1309,2.0,0.902513417114,4.38666666667,168,0.855566
3150,13.293333333333333,1,21,0.920805333333,0.1309,2.0,0.897513250442,3.82,169,0.843105333333
3300,13.1,1,21,0.89009,0.1309,2.0,0.892513083769,3.66,170,0.843105333333
3450,12.78,1,21,0.931126666667,0.1309,2.0,0.887512917097,4.17333333333,171,0.837311333333
3600,13.14,1,21,0.974039333333,0.1309,2.0,0.882512750425,4.06666666667,172,0.831517333333
3750,12.72,1,21,0.980050666667,0.1309,2.0,0.877512583753,3.64666666667,173,0.824850666667
3900,12.046666666666667,1,21,1.01304466667,0.1309,2.0,0.87251241708,3.55333333333,174,0.824850666667
4050,12.693333333333333,1,21,0.918282666667,0.1309,2.0,0.867512250408,3.91333333333,175,0.824850666667
4200,12.793333333333333,1,21,0.896949333333,0.1309,2.0,0.862512083736,3.87333333333,176,0.825264
4350,12.253333333333334,1,21,0.950255333333,0.1309,2.0,0.857511917064,4.65333333333,177,0.81947
4500,12.213333333333333,1,21,0.992492,0.1309,2.0,0.852511750392,3.81333333333,178,0.826136666667
4650,12.086666666666666,1,21,1.01139133333,0.1309,2.0,0.847511583719,3.16666666667,179,0.820756
4800,11.866666666666667,1,21,0.973917333333,0.1309,2.0,0.842511417047,3.78666666667,180,0.820756
4950,11.146666666666667,1,21,1.066332,0.1309,2.0,0.837511250375,3.65333333333,181,0.820756
5100,11.68,1,21,1.02543133333,0.1309,2.0,0.832511083703,3.68666666667,182,0.808708666667
5250,12.466666666666667,1,21,0.930381333333,0.1309,2.0,0.82751091703,3.74666666667,183,0.808855333333
5400,11.533333333333333,1,21,1.02623133333,0.1309,2.0,0.822510750358,3.88666666667,184,0.815522
5550,11.04,1,21,1.10717266667,0.1309,2.0,0.817510583686,3.60666666667,185,0.809728
5700,11.96,1,21,0.966450666667,0.1309,2.0,0.812510417014,3.48666666667,186,0.797680666667
5850,11.606666666666667,1,21,1.09786333333,0.1309,2.0,0.807510250342,3.32666666667,187,0.804347333333
6000,10.926666666666666,1,21,1.11323333333,0.1309,2.0,0.802510083669,3.56,188,0.816808
6150,11.713333333333333,1,21,1.02671733333,0.1309,2.0,0.797509916997,4.06,189,0.816808
6300,10.56,1,21,1.09161,0.1309,2.0,0.792509750325,3.74666666667,190,0.817221333333
