ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
150,14.853333333333333,1,21,0.701556166667,0.098175,2.0,0.997516583886,4.3,149,0.702172833333
300,12.84,1,21,0.8078635,0.098175,2.0,0.992516417214,4.246666666666667,150,0.701556166667
450,13.693333333333333,1,21,0.77396,0.098175,1.9375,0.987516250542,3.99333333333,151,0.701556166667
600,13.62,1,21,0.776103833333,0.098175,1.9375,0.982516083869,4.80666666667,152,0.696687333333
750,12.713333333333333,1,21,0.833235333333,0.098175,2.0,0.977515917197,3.55333333333,153,0.696580666667
900,14.22,1,21,0.7388005,0.098175,2.0,0.972515750525,4.36666666667,154,0.696687333333
1050,14.266666666666667,1,21,0.732987166667,0.098175,1.9375,0.967515583853,4.61333333333,155,0.700722833333
1200,15.193333333333333,1,21,0.683078333333,0.098175,2.0,0.962515417181,4.52,156,0.700306166667
1350,12.933333333333334,1,21,0.795568833333,0.098175,1.9375,0.957515250508,4.18,157,0.700722833333
1500,13.806666666666667,1,21,0.729902666667,0.098175,1.9375,0.952515083836,4.50666666667,158,0.712985
1650,14.926666666666666,1,21,0.718387,0.098175,1.9375,0.947514917164,4.31333333333,159,0.713818333333
1800,13.953333333333333,1,21,0.746126666667,0.098175,1.9375,0.942514750492,4.78666666667,160,0.714651666667
1950,14.326666666666666,1,21,0.752247,0.098175,2.0,0.937514583819,4.55333333333,161,0.726497166667
2100,13.46,1,21,0.835197833333,0.098175,1.9375,0.932514417147,4.53333333333,162,0.715795
2250,13.66,1,21,0.754791166667,0.098175,1.9375,0.927514250475,3.99333333333,163,0.727223833333
2400,13.22,1,21,0.770389833333,0.098175,2.0,0.922514083803,4.54666666667,164,0.723188333333
2550,13.006666666666666,1,21,0.841804166667,0.098175,1.9375,0.917513917131,4.86,165,0.712286166667
2700,13.9,1,21,0.768524666667,0.098175,1.9375,0.912513750458,4.32666666667,166,0.712286166667
2850,12.466666666666667,1,21,0.866441833333,0.098175,1.9375,0.907513583786,3.72,167,0.724131666667
3000,13.58,1,21,0.827516833333,0.098175,2.0,0.902513417114,4.33333333333,168,0.7194795
3150,13.72,1,21,0.7817745,0.098175,2.0,0.897513250442,4.29333333333,169,0.723298333333
3300,13.96,1,21,0.7513315,0.098175,1.9375,0.892513083769,4.36,170,0.727643833333
3450,12.193333333333333,1,21,0.906052833333,0.098175,1.9375,0.887512917097,4.15333333333,171,0.727227166667
