ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
150,13.64,1,21,0.76,0.0,2.0,0.997516583886,6.526666666666666,149,0.765
300,13.413333333333334,1,21,0.74,0.0,2.0,0.992516417214,6.806666666666667,150,0.76
450,13.54,1,21,0.74,0.0,2.0,0.987516250542,6.35333333333,151,0.753333333333
600,13.58,1,21,0.756666666667,0.0,2.0,0.982516083869,7.0,152,0.75
750,12.853333333333333,1,21,0.833333333333,0.0,2.0,0.977515917197,6.41333333333,153,0.75
900,13.073333333333334,1,21,0.8,0.0,2.0,0.972515750525,7.69333333333,154,0.751666666667
1050,13.193333333333333,1,21,0.766666666667,0.0,2.0,0.967515583853,6.82666666667,155,0.751666666667
1200,13.546666666666667,1,21,0.778333333333,0.0,2.0,0.962515417181,6.48,156,0.753333333333
1350,13.273333333333333,1,21,0.753333333333,0.0,2.0,0.957515250508,6.32666666667,157,0.755
1500,12.993333333333334,1,21,0.77,0.0,1.75,0.952515083836,6.74666666667,158,0.746666666667
1650,14.14,1,21,0.738333333333,0.0,1.75,0.947514917164,6.89333333333,159,0.748333333333
1800,13.653333333333334,1,21,0.801666666667,0.0,2.0,0.942514750492,6.74666666667,160,0.746666666667
1950,12.24,1,21,0.863333333333,0.0,1.75,0.937514583819,7.07333333333,161,0.736666666667
2100,13.486666666666666,1,21,0.775,0.0,2.0,0.932514417147,6.85333333333,162,0.741666666667
2250,12.68,1,21,0.861666666667,0.0,2.0,0.927514250475,6.48666666667,163,0.741666666667
2400,13.16,1,21,0.785,0.0,1.75,0.922514083803,6.8,164,0.745
2550,12.906666666666666,1,21,0.831666666667,0.0,1.75,0.917513917131,6.28,165,0.745
2700,12.08,1,21,0.805,0.0,1.75,0.912513750458,6.98,166,0.735
2850,14.053333333333333,1,21,0.728333333333,0.0,1.75,0.907513583786,6.26,167,0.736666666667
