ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
150,18.393333333333334,1,21,0.485186,0.032725,2.0,0.997516583886,6.1,149,0.481436
300,19.06,1,21,0.427586,0.032725,1.8125,0.992516417214,6.753333333333333,150,0.485186
450,19.493333333333332,1,21,0.3928995,0.032725,1.8125,0.987516250542,5.92666666667,151,0.487686
600,18.566666666666666,1,21,0.469149,0.032725,2.0,0.982516083869,6.66666666667,152,0.487686
750,19.173333333333332,1,21,0.434697833333,0.032725,1.8125,0.977515917197,6.77333333333,153,0.487686
900,18.58,2,21,0.444630166667,0.032725,1.8125,0.972515750525,6.12666666667,154,0.485082666667
1050,18.82,1,21,0.447102333333,0.032725,1.8125,0.967515583853,6.98666666667,155,0.486332666667
1200,18.42,1,21,0.469035666667,0.032725,1.8125,0.962515417181,6.74666666667,156,0.487781166667
1350,18.773333333333333,1,21,0.485324833333,0.032725,2.0,0.957515250508,6.02666666667,157,0.486332666667
1500,17.94,1,21,0.476726666667,0.032725,2.0,0.952515083836,6.6,158,0.488766
1650,18.173333333333332,1,21,0.519605166667,0.032725,2.0,0.947514917164,6.14,159,0.487412666667
1800,18.493333333333332,1,21,0.460447166667,0.032725,2.0,0.942514750492,6.18,160,0.484809333333
1950,19.233333333333334,1,21,0.436979,0.032725,1.8125,0.937514583819,6.46,161,0.486059333333
2100,18.92,1,21,0.462274833333,0.032725,1.8125,0.932514417147,5.46666666667,162,0.484809333333
2250,18.993333333333332,1,21,0.4536105,0.032725,1.8125,0.927514250475,5.92666666667,163,0.486162666667
2400,18.133333333333333,1,21,0.519773333333,0.032725,2.0,0.922514083803,7.22666666667,164,0.482214166667
2550,18.35333333333333,1,21,0.485809666667,0.032725,1.8125,0.917513917131,5.64666666667,165,0.487412666667
2700,19.62,3,21,0.4090805,0.032725,1.798225,0.912513750458,6.6,166,0.491096
2850,19.006666666666668,1,21,0.465197666667,0.032725,1.8125,0.907513583786,6.34666666667,167,0.493699333333
3000,18.046666666666667,1,21,0.516459666667,0.032725,1.8125,0.902513417114,6.18,168,0.493699333333
3150,18.753333333333334,1,21,0.462048166667,0.032725,1.8125,0.897513250442,6.12666666667,169,0.505461166667
3300,18.66,1,21,0.485839666667,0.032725,1.8125,0.892513083769,7.08666666667,170,0.509409666667
